nome_arquivo,pasta_pai,data_extraida_arquivo,mes_pasta,ano_pasta,tamanho_bytes,largura_px,altura_px,modo_cor,formato_imagem,texto_easyocr,exif_data_json,erro_processamento,caminho_completo
ppi-19-02-2025.jpg,02-2025,19-02-2025,02,2025,260648,1112,487,RGB,JPEG,"ACOMPANHAMENTO DIÁRIO PETROBRAS ACELEN 19/02/25 Itaqui Suape _ Paulínia Araucária Itacoatiara Aratu Preco [RSIL 3,6160 3,5889 3,7526 3,7238 3,7247 3,7365 PPRSIL 37507 37507 39306 889 3,7674 38353 Óleo Diesel A Defasagem (RS[L) -0,1347 0,1618 0,1780 0,1654 0427 0,0988 % Defasado ~4% 5% 3% Preco [RSI 29003 29176 3,0308 29909 9958 3,088 PPIRSIL 29974 29974 3,1772 31358 3,0141 3,0820 Gasolina A Defasagem (RS/L) -0,0971 0,0798 0,1464 0,1449 0,0183 0,0067 % Defasado 'Defasagem Média Petrobras considera os polos Petrobras não inclui Aratu (Acelen) #Defasagem Média nos Principais Polos, considerando os polos acima Abicom IStoneX DEFASAGEM MÉDIA NOS POLOS PETROBRAS* 19/02/25 Média (%) Média (RSIL) Máxima (RSIL) Mínima RSI Óeo DieseA 014 018 0,04 Gasolina 3% -0,10 0,15 -0,02 DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS** 19/02/25 Média (%] Média (RSL Máxima (RSIL Mínima (RSID Óleo Diesel A 4% -0,13 -0,18 -0,04 ABICOM - PPI ENERGIA Gasolina 39 -0,08 0,15 0.01 PPi desenvolvido e atualizado em parceria e dados da StoneX Brasil",,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\02-2025\ppi-19-02-2025.jpg
ppi-17-02-2025.jpg,02-2025,17-02-2025,02,2025,265026,1106,486,RGB,JPEG,"ACOMPANHAMENTO DIÁRIO PETROBRAS ACELEN 17/02/25 Itaqui Suape Paulínia Araucária Itacoatiara Aratu Preco[IL 36160 3588 37526 37238 37247 37365 PPI (RS/L) 3,8028 38028 3,9830 3,9416 3,8194 3,8874 Diesel A Defasagem [RSIL 0,1868 0,2139 0,2304 0,2178 0,1509 Defasado 75% 6% Preco[IL 29003 29176 3,0308 29909 9958 3,088 PPI (RSIL) 3,0179 3,0179 31981 31567 3,0345 3,1025 Gasolina A Defasagem [RS/L) -0,1176 -0,1003 -0,1673 0,1658 0387 0,0138 % Defasado 4% 3% 'Defasagem Média Petrobras considera os polos Petrobras não inclui Aratu (Acelen) ""#Defasagem Média nos Principais Polos, considerando os polos acima Abicom IStonex DEFASAGEM MÉDIA NOS POLOS PETROBRAS* 17/02/25 Média (%] Média [RsI Máxima[RsI Mínima (RSD Óleo DieselA 0,19 0,23 -0,0 Gasolina A 49 ""0,12 0,17 -0.04 DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS** 17/02/25 Média (%) Média (RSIL) Máxima (RSIL) Mínima (RSIL) Óleo Diesel A 5% -0,18 0,23 -0,09 ABICOM PPI ENERGIA Gasolina A 39 0,10 0,17 -0, 01 PPi desenvolvido e atualizado em parceria e dados da StoneX Brasil Óleo",,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\02-2025\ppi-17-02-2025.jpg
ppi-21-02-2025.jpg,02-2025,21-02-2025,02,2025,263271,1115,489,RGB,JPEG,"ACOMPANHAMENTO DIÁRIO PETROBRAS ACELEN  21/02/25 Itaqui Suape Paulínia Araucária Itacoatiara Aratu Preco[RsIL 3,6160 3,5889 37526 37238 37247 37365 PPI (RS/L) 3,8586 3,8586 4,0477 4,0063 38753 3,9432 Óleo Diesel A Defasagem [RSI) 0,2426 0,2697 0.2951 0,2825 0,1506 0,2067 % Defasado 1-7% 8% 8% 6% Preco[RsIL 29003 29176 30308 9958 3,088 PPI (RS/L) 29942 29942 31832 31419 3,0108 3,0788 Gasolina A Defasagem (RS/L) 0,0939 -0,0766 0,1524 0,1510 0,0150 0099 % Defasado Defasagem Média Petrobras considera os polos Petrobras não inclui Aratu (Acelen) #Defasagem Média nos Principais Polos; considerando os polos acima Abicom IStoneX DEFASAGEM MÉDIA NOS POLOS PETROBRAS* 21/02/25 Média (%] Média RsI Máxima RSM Mínima (RSL Óleo DieselA 0,25 0,30 0,15 Gasolina A 39 0,10 -0,15 0.02 DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS** 21/02/25 Média (%] Média (RSL) Máxima (RSIL) Mínima (RSIL) Óleo Diesel A 79 -0,24 -0,30 -0,15 ABICOM PPI ENERGIA Gasolina A 3% -0.08 -0,15 0,01 PPT desenvolvido e atualizado em parceria e dados da StoneX Brasil",,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\02-2025\ppi-21-02-2025.jpg
ppi-27-02-2025.jpg,02-2025,27-02-2025,02,2025,263267,1106,486,RGB,JPEG,"ACOMPANHAMENTO DIÁRIO PETROBRAS ACELEN 27/02/25 Itaqui _ Suape Paulínia Araucária Itacoatiara Aratu Preco [RSIL) 3,6160 3,5889 37526 3,7238 3,7247 3,7365 PPRSIL 3,6717 36717 3,8618 38204 36884 37564 Óleo Diesel A Defasagem (RS[L) 0,0557 -0,0828 0,1092 -0,0966 0363 -0,0199 % Defasado 1-2% 2% 3% -1% Preco [RSIL) 2,9003 2,9176 3,0308 2,9909 9958 3,0887 Gasolina PPIRSIL 28197 009 29683 28364 29043 Defasagem (RS/L) 0,0806 0,0979 021 0,0226 0,1594 0,1844 % Defasado 6% Defasagem Média Petrobras considera os polos Petrobras não inclui Aratu Acelen) '#Defasaqem Média nos Principais Polos, considerando os polos acima Abicom StoneX DEFASAGEM MÉDIA NOS POLOS PETROBRAS* 27/02/25 Média (%) Média  RSIL Máxima  RSIL Mínima (RSIL) Óleo DieselA 0,06 011 0,04 Gasolina A 39 0,08 0,16 0,02 DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS** 27/02/25 Média (%L Média[RsI Máxima (RSIL Mínima (RSL Óleo Diesel A 1% -0,05 -0,11 0,04 ABICOM - PPI ENERGIA Gasolina A 39 0.09 0,18 0.02 PPT desenvolvido e atualizado em parceria e dados da StoneX Brasil 28197",,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\02-2025\ppi-27-02-2025.jpg
ppi-26-02-2025.jpg,02-2025,26-02-2025,02,2025,254788,1102,483,RGB,JPEG,"ACOMPANHAMENTO DIÁRIO PETROBRAS ACELEN _ 26/02/25 Itaqui Suape _ Paulínia Araucária Itacoatiara Aratu Preco [sIL 3,6160 35889 27526 37238 37247 37365 PPI (RS/L) 3,7427 3,7427 3,9328 38914 27594 3,8274 Óleo Diesel A Defasagem [RSIL 0,1267 0,1538 0,180 0,1676 034 0,0909 % Defasado -4% 4% ~5% 5% -2% Preco [sIL 29003 29176 30308 29909 9958 3,088 PPI (RS/L) 28491 28491 3,0392 29978 28658 29337 Gasolina A Defasagem (RS/L) 0,0512 0,0685 0069 0.1300 0,1550 % Defasado 5% FDefasagem Média Petrobras considera os 5 polos etrobras não inclui Aratu (Acelen) Defasagem Média nos Principais Polos, considerando os polos acima Abicom IStoneX DEFASAGEM MÉDIA NOS POLOS PETROBRAS* 26/02/25 Média [% Média[RsI Máxima[RsI Mínima (RSI Óleo DieselA 4% ""0,13 -0,18 -0,03 Gasolina A 0,05 0,13 0.01 DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS** 26/02/25 Média Média (RSILI Máxima (RSIL) Mínima (RSIL) Óleo Diesel A 3% -0,13 -0,18 -0,03 ABICOM PPI ENERGIA Gasolina 0,06 0,15 0,01 PPTdesenvolvido e atualizado em parceria e dados da StoneX Brasil",,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\02-2025\ppi-26-02-2025.jpg
ppi-18-02-2025.jpg,02-2025,18-02-2025,02,2025,264712,1111,488,RGB,JPEG,"ACOMPANHAMENTO DIÁRIO PETROBRAS ACELEN 18/02/25 Itaqui Suape _ Paulínia Araucária Itacoatiara Aratu Preco[sIL 3,6160 35889 37526 37238 37247 37365 PPI (RS/L) 3,7771 3,7771 39571 3,9157 3,7938 3,8618 Óleo Diesel A Defasagem [RSI) ~01611 0,1882 0,2045 0,1919 069 011253 % Defasado 1-4% 5% -5% 5% 3% Preco[sIL 29003 29176 30308 2,9909 9958 3,088 PPI (RS/L) 3,0089 3,0089 31889 3,1475 3,0255 3,0935 Gasolina A Defasagem (RSIL) -0,1086 -0,0913 0,158 -0,1566 0,0297 0,0048 % Defasado 4% Defasagem Média Petrobras considera os 5 polos Petrobras não inclui Aratu (Acelen) ""Defasagem Média nos Principais Polos; considerando os polos acima Abicom StoneX DEFASAGEM MÉDIA NOS POLOS PETROBRAS* 18/02/25 Média (%] Média[RsI Máxima (RSL Mínima (RSL Óleo DieselA 0,16 0,20 Gasolina A 49 011 -0,16 DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS** 18/02/25 Média (%) Média (RSL) Máxima (RSIL) Mínima (RSIL) Óleo Diesel A -4% 0,16 -0,20 0,07 ABICOM - PPI ENERGIA Gasolina A 39 0,.09 -0,16 0,00 PPT desenvolvido e atualizado em parceria e dados da StoneX Brasil",,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\02-2025\ppi-18-02-2025.jpg
ppi-20-02-2025.jpg,02-2025,20-02-2025,02,2025,264396,1109,484,RGB,JPEG,"ACOMPANHAMENTO DIÁRIO PETROBRAS ACELEN 20/02/25 Itaqui Suape Paulínia Araucária Itacoatiara Aratu Preco [RSIL 3,6160 3,5889 3,7526 3,7238 37247 3,7365 PPIRSI 37817 37817 39639 39225 7983 3,8663 Óleo Diesel A Defasagem [RS/L) 0,1657 -0,1928 02113 0,198 0736 0,1298 Defasado ~-59 5% 6% 5% 3% Preco [RSIL) 29003 29176 3,0308 2,9909 9958 3,088"" PPIRSI 30013 30013 3,1836 31422 3,0180 3,0859 Gasolina A Defasagem (RS/L) -0,1010 -0,0837 0,1528 0,1513 0222 0028 % Defasado 39 Defasagem Média Petrobras considera os polos Petrobras não inclui Aratu Acelen) ""Defasagem Média nos Principais Polos, considerando os polos acima Abicom StoneX DEFASAGEM MÉDIA NOS POLOS PETROBRAS* 20/02/25 Média (%) Média  RSIL Máxima RSL Mínima RSIL Óleo DieselA 59 0,17 -021 0.0 Gasolina A 39 0,10 -0,15 0,02 DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS* * 20/02/25 Média (%L Média[RsI Méáxima (RSL Mínima (RSL Óleo Diesei A 4% -0,16 -0,21 -0,07 ABICOM - PPI ENERGIA Gasolina A 39 0,08 -0,15 0,00 PPT desenvolvido e atualizado em parceria e dados da StoneX Brasil",,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\02-2025\ppi-20-02-2025.jpg
ppi-24-02-2025.jpg,02-2025,24-02-2025,02,2025,256265,1100,485,RGB,JPEG,"ACOMPANHAMENTO DIÁRIO PETROBRAS ACELEN 24/02/25 Itaqui_ Suape _ Paulínia Araucária Itacoatiara Aratu Preco [RSIL 3,6160 3,5889 37526 37238 37247 37365 PPIRSI 31499 37499 3939 3,8976 37666 38345 Óleo Diesel A Defasagem (RS[L) 0,1339 0,1610 0,1864 -0,1738 0,041 0,0980 Defasado 1-4% 4% -5% 5% -3% Preco [RSIL 29003 29176 3,0308 29909 29958 3,088 PPIRSI 29034 29034 30925 3,0511 9201 29881 Gasolina A Defasagem (RS/L) 0,0031 00142 0,061 0,0602 0757 0,1006 % Defasado 39 Defasagem Média Petrobras considera os 5 polos Petrobras não inclui Aratu (Acelen) ""Defasagem Média nos 'rincipais Polos, considerando os polos acima Abicom IStoneX DEFASAGEM MÉDIA NOS POLOS PETROBRAS* 24/02/25 Média (%) Média (RSILI Máxima (RSIL) Mínima (RSIL) Óleo DieselA 0,14 -0,19 0,04 Gasolina A 0% 0,.01 -0,.06 0,08 DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS** 24/02/25 Média (% Média[RsI Máxima[RsIL Mínima (RSL Óleo Diesel A 4% 0,13 0,19 -0,04 ABICOM PpI ENERGIA Gasolina A 09 0.01 0 10 0,06 PPT desenvolvido e atualizado em parceria e dados da StoneX Brasil",,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\02-2025\ppi-24-02-2025.jpg
ppi-21-03-2024.jpg,03-2024,21-03-2024,03,2024,263457,1106,485,RGB,JPEG,"ACOMPANHAMENTO DIÁRIO PETROBRAS ACELEN 21/03/25 Itaqui Suape Paulínia _ Araucária Itacoatiara Aratu Preco [RsI 3,6160 3,5889 3,7526 3,7238 3,7247 3,4961 PPIRSIL 3,4907 3490 36861 3,6447 3,5074 35753 Óleo Diesel A Defasagem (RS[L) 0,1253 0,0982 0665 0791 0,2173 0,0792 % Defasado 39 3% 2% -2% Preco [RSIL) 2,9003 2,9176 3,0308 9909 9958 29190 PPIRSIL 28157 28157 30017 29603 28323 29003 Gasolina A Defasagem (RS/L) 0,0846 0,1019 0291 0306 0,1635 0,0187 % Defasado 39 Defasagem Média Petrobras considera os polos Petrobras não inclui Aratu Acelen) ""Defasagem Média nos Principais Polos, considerando os 6 polos acima Abicom IStoneX DEFASAGEM MÉDIA NOS POLOS PETROBRAS* 21/03/25 Média (%) Média RSI Máxima  RSIL Mínima RSI Óleo DieselA 0,12 0,22 Gasolina A 3% 0,.08 0,16 0,03 DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS** 21/03/25 Média [%) Média (RSL Máxima[RsI Mínima (RSD Óleo Diesei A 0,08 0,22 -0,08 ABICOM - PPI ENERGIA Gasolina A 0.07 0,16 0.02 PPT desenvolvido e atualizado em parceria e dados da StoneX Brasil",,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\03-2024\ppi-21-03-2024.jpg
ppi-06-03-2025.jpg,03-2025,06-03-2025,03,2025,262937,1109,487,RGB,JPEG,"ACOMPANHAMENTO DIÁRIO PETROBRAS ACELEN 06/03 /25 Itaqui Suape Paulínia Araucária Itacoatiara Aratu Preco[IL 36160 35889 37526 37238 37247 37141 PPI (RS/L) 3,5405 3,5405 3,7223 3,6809 3,5572 3,6251 Óleo Diesel A Defasagem [RSIL 00755 0,0484 0,0303 042 0,1675 089 % Defasado 2% 1% 1% 2% [RSI 2,9003 29176 3,0308 9909 3,088 PPI (RS/L) 28170 28170 2,9989 29575 2833 2,901 Gasolina A Defasagem (RS/L) 0,0833 0,1006 03 0334 1621 0,1870 % Defasado 39 3% 6% 'Defasagem Média Petrobras considera os polos Petrobras não inclui Aratu (Acelen) Defasagem Média nos Principais Polos, considerando os polos acima Abicom IStoneX DEFASAGEM MÉDIA NOS POLOS PETROBRAS* 06/03/25 Média Média[RsI Máxima[RsI Mínima (RSIL Óleo DieselA 0,07 0,17 03 Gasolina A 08 0,16 DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS** 06/03/25 Média (%) Média (RSILL Máxima (RSIL) Mínima (RSL) Óleo Diesel A 0,08 0,17 0,03 ABICOM PPI ENERGIA Gasolina 39 0,10 0,19 0,03 PPi desenvolvido e atualizado em parceria e dados da StoneX Brasil Preço",,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\03-2025\ppi-06-03-2025.jpg
ppi-05-03-2025.jpg,03-2025,05-03-2025,03,2025,255480,1102,481,RGB,JPEG,"ACOMPANHAMENTO DIÁRIO PETROBRAS ACELEN  05/03/25 Itaqui Suape Paulínia Araucária Itacoatiara Aratu Preco[sIL 3,6160 25889 37526 37238 37247 37365 PPI (RS/L) 3,6343 3,6343 38182 3,7768 3,6510 3,7189 lóleo Diesel A Defasagem [RSI) 0,0183 -0,0454 00656 -0,0530 073- 0,0176 % Defasado 11 -1% -2% 1% 0% Preco[RsI 29003 29176 3,0308 29909 29958 3088 PPI (RS/L) 29327 29327 3,1166 3,0752 29494 3,0173 Gasolina A Defasagem (RS/L) 0,0324 -0,0151 0858 0843 0,0464 0,0714 % Defasado 3% 29 Defasagem Média Petrobras considera os 5 polos Petrobras não inclui Aratu (Acelen) Defasagem Média nos Principais Polos; considerando os polos acima Abicom IStoneX DEFASAGEM MÉDIA NOS POLOS PETROBRAS* 05/03/25 Média (%) Média RsI Máxima (RSIL Mínima (RSL Óleo DieselA 0,02 -0,0 0,0 Gasolina A 0,.03 -0,.09 05 DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS** 05/03/25 Média (%) Média (RSILL Máxima (RSIL) Mínima (RSIL) Óleo Diesel A 0,02 -0,07 0,07 ABICOM PPI ENERGIA Gasolina A 0,.02 -0,09 0,07 PPTdesenvolvido e atualizado em parceria e dados da StoneX Brasil",,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\03-2025\ppi-05-03-2025.jpg
